"id","position","goals","assists","started","subbed","rating","mom_votes","match_id","player_id"
"68","LW","0","1","false","true","5","0","2","22"
"70","RW","1","0","false","true","5","0","2","18"
"71","RB","0","0","false","true","4","0","2","14"
"72","RW","0","0","false","true","3","0","2","27"
"14","LW","0","0","false","true","3","0","1","18"
"13","RCF","1","0","false","true","5","0","1","24"
"12","RCM","0","1","false","true","4","0","1","22"
"75","RCB","0","0","true","false","2","0","6","6"
"35","LCM","1","0","true","false","5","4","4","16"
"10","RCF","0","0","true","false","4","0","1","25"
"78","HDM","0","0","true","false","3","0","6","17"
"9","RW","0","0","true","false","4","0","1","19"
"79","LCM","0","0","true","false","3","0","6","16"
"7","RCM","0","0","true","false","4","0","1","20"
"6","HDM","0","0","true","false","4","0","1","17"
"5","LB","0","0","true","false","4","0","1","7"
"4","LCB","0","0","true","false","5","0","1","12"
"3","RCB","0","0","true","false","5","0","1","6"
"2","RB","0","0","true","false","4","0","1","13"
"80","RCM","0","0","true","false","3","0","6","20"
"67","RCF","0","0","true","false","4","2","2","25"
"15","GK","0","0","true","false","4","0","5","1"
"16","RB","0","0","true","false","4","0","5","13"
"17","RCB","0","0","true","false","4","0","5","6"
"18","LCB","0","0","true","false","4","0","5","12"
"19","LB","0","0","true","false","4","0","5","7"
"20","HDM","0","0","true","false","4","0","5","17"
"21","LCM","0","0","true","false","5","0","5","16"
"22","RCM","1","0","true","false","5","0","5","20"
"23","RW","0","1","true","false","5","0","5","19"
"24","LW","0","1","true","false","5","0","5","23"
"25","RCF","1","0","true","false","5","0","5","24"
"26","RCF","0","0","false","true","3","0","5","25"
"27","RW","0","0","false","true","3","0","5","18"
"28","LW","0","0","false","true","3","0","5","22"
"29","GK","0","0","true","false","5","0","4","1"
"30","RB","0","0","true","false","4","0","4","13"
